Designator,Footprint,Quantity,Value,LCSC Part #
C1,603,1,100nF,C14663
"C10, C11, C21, C22, C23, C24, C26, C6, C7, C8, C9",402,11,100nF,C307331
"C12, C15",402,2,1UF,C52923
C13,402,1,10nF,C15195
C14,603,1,10uF,C96446
"C16, C18",805,2,4.7uF,C1779
"C17, C19",805,2,0.1uF,C49678
"C2, C3",402,2,24pF,C285039
C20,402,1,4.7uF ,C23733
C25,603,1,100nF,C14663
C27,402,1,220nF,C16772
"C28, C29",402,2,8pF,C26408
C30,402,1,4.7uF,C23733
C31,402,1,3.4pF,C26404
C32,402,1,1.2pF,C72135
"C33, C37",402,2,100nF,C307331
"C34, C36",402,2,0.5pF,C86284
"C35, C38, C39",402,3,3pF,C318583
"C4, C5",402,2,5pF,C1573
"C40, C41, C42, C43",805,4,47uF/50V,
"C44, C45, C46, C47, C63, C65",805,6,100nF,
"C48, C49, C50, C51",805,4,NC,
"C52, C60, C61, C64",805,4,1uF,
C53,805,1,22uF,
C54,402,1,3.3nF,
C55,805,1,10uF,
C56,1210,1,0.47uF,C192761
C57,402,1,47pF,C1567
C58,1210,1,12uF,
C59,402,1,0.1uF,
C62,402,1,1nF,
C66,CP_EIA-6032-15_Kemet-U,1,330uF,C444758
C67,1210,1,10uF,
"C68, C69, C70, C71",402,4,10uF,
COM-TO-STM1,SW-SMD_SS-3235S-L2,1,~,C500056
"D1, D3, D4, D5",805,4,LED,C84256
"D10, D11, D12, D13, D6, D7, D8, D9",D_SOD-123,8,D_Zener,C81601
D14,D_SMA,1,1N5819,
D15,PDS4150,1,S310,
D16,805,1,D,
D17,D_MiniMELF,1,BZV55B5V1,
D18,LED_D3.0mm,1,LED,
D2,D_SOD-123,1,D,
"FB1, FB2",603,2,600 @ 100mhz,C1002
J11,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
L1,402,1,L,
L2,805,1,10uH,C1046
L3,402,1,22nH,C12670
L4,402,1,3n,
L5,L_7.3x7.3_H3.5,1,22uH,C514808
Q1,SOT-23,1,BSS138,
R1,402,1,47R,
"R10, R6",402,2,100R,
"R11, R13",603,2,100R,C22775
R12,603,1,100K,
"R14, R15, R16, R8",402,4,1K,
R17,603,1,330,
R18,402,1,5.76K,C321562
"R19, R21, R22, R23, R25",603,5,10K,
R2,603,1,15K,
R20,402,1,36.5K,C25887
R24,603,1,20mR,C422963
R26,402,1,100K,
"R27, R30, R32, R5",603,4,1K,
R28,402,1,422K,C144038
R29,402,1,80.6K,C25921
"R3, R31",603,2,100R,
R33,603,1,2K,
R4,603,1,3M3,
"R7, R9",402,2,5k1,
SW1,SW_TS-1187A-B-A-B,1,EN,C318884
SW2,SW_TS-1187A-B-A-B,1,BOOT,C318884
SW3,SW_TS-1187A-B-A-B,1,EN,C318884
SW4,SW_TS-1187A-B-A-B,1,BOOT_,C318884
U1,LQFP-64_10x10mm_P0.5mm,1,~,
"U10, U7, U8, U9",SOIC-8_3.9x4.9mm_P1.27mm,4,L6388ED013TR,C23921
"U11, U12, U13, U14",TDSON-8,4,IAUC45N04S6N070HATMA1,
U15,SOP-8_3.9x4.9mm_P1.27mm,1,CC6900SO-20A,
U17,SOT-223-3_TabPin2,1,LM1117-3.3,
U18,AP3P3R0MT,1,~,
U19,SOIC-8_3.9x4.9mm_P1.27mm,1,LM393,
U4,SOT-23-6,1,USBLC6-2SC6,C2827654
Y1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,20Mhz,C5265859
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768 kHz,C182057
Y3,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,32.7680 KHz 12.5 pF,C891748
Y4,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32.0000 MHz 8pF,C718072
